name,region,year,life_exp,income,child_mort,fertility,population
Afghanistan,asia,2020,64.41,1850,58.08,4.04,38928341
Angola,africa,2020,65.36,5440,72.29,5.41,32866268
Albania,europe,2020,78.58,13800,8.52,1.7,2877800
United Arab Emirates,asia,2020,73.77,65100,7.16,1.69,9890400
Argentina,americas,2020,77.1,17200,9.4,2.23,45195777
Armenia,europe,2020,76.04,10700,11.74,1.59,2963234
Antigua and Barbuda,americas,2020,77.41,25400,6.09,2.01,97928
Australia,asia,2020,82.85,46200,3.5,1.81,25499881
Austria,europe,2020,82.11,47800,3.21,1.54,9006400
Azerbaijan,europe,2020,71.18,16500,20.13,2.01,10139175
Burundi,africa,2020,62.58,613,55.11,5.38,11890781
Belgium,europe,2020,81.86,44200,3.38,1.81,11589616
Benin,africa,2020,65.58,2400,88.76,4.7,12123198
Burkina Faso,africa,2020,62.91,1920,71.52,5.03,20903278
Bangladesh,asia,2020,73.94,4670,27.7,2,164689383
Bulgaria,europe,2020,75.24,21700,6.53,1.62,6948445
Bahrain,asia,2020,79.89,42100,6.69,1.94,1701583
Bahamas,americas,2020,74.23,28600,9.62,1.74,393248
Bosnia and Herzegovina,europe,2020,77.14,13800,5.5,1.42,3280815
Belarus,europe,2020,74.63,18300,3.26,1.73,9449321
Belize,americas,2020,74.55,7720,12.37,2.38,397621
Bolivia,americas,2020,73.6,7480,25.44,2.73,11673029
Brazil,americas,2020,76.14,14800,13.47,1.67,212559409
Barbados,americas,2020,77.45,16900,11.66,1.8,287371
Brunei,asia,2020,75.76,76900,11.05,1.82,437483
Bhutan,asia,2020,75.04,10700,27.36,1.94,771612
Botswana,africa,2020,70.05,17900,34.8,2.56,2351625
Central African Republic,africa,2020,53.3,841,110.05,4.57,4829764
Canada,americas,2020,82.32,44900,4.89,1.56,37742157
Switzerland,europe,2020,84.41,59300,3.91,1.56,8654618
Chile,americas,2020,80.12,23800,6.86,1.75,19116209
China,asia,2020,77.7,19100,8.09,1.65,1439323774
Cote d'Ivoire,africa,2020,63.68,4270,77.06,4.66,26378275
Cameroon,africa,2020,64.18,3520,72.03,4.44,26545864
"Congo, Dem. Rep.",africa,2020,63.35,848,84.53,5.72,89561404
"Congo, Rep.",africa,2020,63.48,5080,47.48,4.42,5518092
Colombia,americas,2020,80.67,14400,13.48,1.78,50882884
Comoros,africa,2020,69.29,2540,64.85,4.07,869595
Cape Verde,africa,2020,76.39,7440,18.09,2.2,555988
Costa Rica,americas,2020,80.02,16300,8.19,1.73,5094114
Cuba,americas,2020,78.64,8620,4.82,1.72,11326616
Cyprus,europe,2020,82.19,35700,2.22,1.33,1207361
Czech Republic,europe,2020,79.63,35900,3.21,1.6,10708982
Germany,europe,2020,81.07,47400,3.24,1.49,83783945
Djibouti,africa,2020,68.98,3830,52.9,2.62,988002
Denmark,europe,2020,81.11,49500,3.97,1.77,5792203
Dominican Republic,americas,2020,73.65,17800,27.67,2.31,10847904
Algeria,africa,2020,78.31,14000,22.18,2.54,43851043
Ecuador,americas,2020,77.37,10100,13.5,2.38,17643060
Egypt,africa,2020,71.13,12200,19.82,3.06,102334403
Eritrea,africa,2020,63.76,1450,37.75,3.86,3546427
Spain,europe,2020,83.46,36600,2.84,1.42,46754783
Estonia,europe,2020,78.63,33800,2.4,1.69,1326539
Ethiopia,africa,2020,69.51,2110,50.79,3.76,114963583
